year,rank,rider,time,team,margin,winning_time_parts,finishing_time_parts,country
2018,112,daniel oss (ita),"+ 3h 32' 29""",bora–hansgrohe,"[3, 32, 29]","[83, 17, 13]","[86, 49, 42]",ita
2018,113,michael gogl (aut),"+ 3h 32' 54""",trek–segafredo,"[3, 32, 54]","[83, 17, 13]","[86, 49, 67]",aut
2018,114,alexander kristoff (nor),"+ 3h 33' 33""",uae team emirates,"[3, 33, 33]","[83, 17, 13]","[86, 50, 46]",nor
2018,115,sep vanmarcke (bel),"+ 3h 34' 17""",ef education first–drapac p/b cannondale,"[3, 34, 17]","[83, 17, 13]","[86, 51, 30]",bel
2018,116,anthony turgis (fra),"+ 3h 36' 11""",cofidis,"[3, 36, 11]","[83, 17, 13]","[86, 53, 24]",fra
2018,117,michael hepburn (aus),"+ 3h 36' 30""",mitchelton–scott,"[3, 36, 30]","[83, 17, 13]","[86, 53, 43]",aus
2018,118,luke durbridge (aus),"+ 3h 37' 21""",mitchelton–scott,"[3, 37, 21]","[83, 17, 13]","[86, 54, 34]",aus
2018,119,niki terpstra (ned),"+ 3h 37' 31""",quick-step floors,"[3, 37, 31]","[83, 17, 13]","[86, 54, 44]",ned
2018,120,fabien grellier (fra),"+ 3h 37' 56""",direct énergie,"[3, 37, 56]","[83, 17, 13]","[86, 54, 69]",fra
2018,121,jack bauer (nzl),"+ 3h 39' 02""",mitchelton–scott,"[3, 39, 2]","[83, 17, 13]","[86, 56, 15]",nzl
2018,122,maciej bodnar (pol),"+ 3h 39' 20""",bora–hansgrohe,"[3, 39, 20]","[83, 17, 13]","[86, 56, 33]",pol
2018,123,guillaume van keirsbulck (bel),"+ 3h 40' 30""",wanty–groupe gobert,"[3, 40, 30]","[83, 17, 13]","[86, 57, 43]",bel
2018,124,christophe laporte (fra),"+ 3h 41' 55""",cofidis,"[3, 41, 55]","[83, 17, 13]","[86, 58, 68]",fra
2018,125,heinrich haussler (aus),"+ 3h 42' 24""",bahrain–merida,"[3, 42, 24]","[83, 17, 13]","[86, 59, 37]",aus
2018,126,marco marcato (ita),"+ 3h 42' 54""",uae team emirates,"[3, 42, 54]","[83, 17, 13]","[86, 59, 67]",ita
2018,127,olivier le gac (fra),"+ 3h 49' 03""",groupama–fdj,"[3, 49, 3]","[83, 17, 13]","[86, 66, 16]",fra
2018,128,luke rowe (gbr),"+ 3h 50' 55""",team sky,"[3, 50, 55]","[83, 17, 13]","[86, 67, 68]",gbr
2018,129,tom scully (nzl),"+ 3h 50' 59""",ef education first–drapac p/b cannondale,"[3, 50, 59]","[83, 17, 13]","[86, 67, 72]",nzl
2018,130,dimitri claeys (bel),"+ 3h 51' 15""",cofidis,"[3, 51, 15]","[83, 17, 13]","[86, 68, 28]",bel
2018,131,timothy dupont (bel),"+ 3h 51' 16""",wanty–groupe gobert,"[3, 51, 16]","[83, 17, 13]","[86, 68, 29]",bel
2018,132,lukas pöstlberger (aut),"+ 3h 56' 53""",bora–hansgrohe,"[3, 56, 53]","[83, 17, 13]","[86, 73, 66]",aut
2018,133,oliviero troia (ita),"+ 3h 57' 02""",uae team emirates,"[3, 57, 2]","[83, 17, 13]","[86, 74, 15]",ita
2018,134,ramon sinkeldam (ned),"+ 3h 58' 01""",groupama–fdj,"[3, 58, 1]","[83, 17, 13]","[86, 75, 14]",ned
2018,135,maximiliano richeze (arg),"+ 3h 58' 58""",quick-step floors,"[3, 58, 58]","[83, 17, 13]","[86, 75, 71]",arg
2018,136,taylor phinney (usa),"+ 3h 59' 07""",ef education first–drapac p/b cannondale,"[3, 59, 7]","[83, 17, 13]","[86, 76, 20]",usa
2018,137,timo roosen (ned),"+ 4h 01' 05""",lottonl–jumbo,"[4, 1, 5]","[83, 17, 13]","[87, 18, 18]",ned
2018,138,roberto ferrari (ita),"+ 4h 01' 34""",uae team emirates,"[4, 1, 34]","[83, 17, 13]","[87, 18, 47]",ita
2018,139,amund grøndahl jansen (nor),"+ 4h 02' 04""",lottonl–jumbo,"[4, 2, 4]","[83, 17, 13]","[87, 19, 17]",nor
2018,140,damien gaudin (fra),"+ 4h 02' 07""",direct énergie,"[4, 2, 7]","[83, 17, 13]","[87, 19, 20]",fra
2018,141,arnaud démare (fra),"+ 4h 08' 18""",groupama–fdj,"[4, 8, 18]","[83, 17, 13]","[87, 25, 31]",fra
2018,142,jasper de buyst (bel),"+ 4h 08' 54""",lotto–soudal,"[4, 8, 54]","[83, 17, 13]","[87, 25, 67]",bel
2018,143,jay thomson (rsa),"+ 4h 09' 49""",team dimension data,"[4, 9, 49]","[83, 17, 13]","[87, 26, 62]",rsa
2018,144,jacopo guarnieri (ita),"+ 4h 12' 29""",groupama–fdj,"[4, 12, 29]","[83, 17, 13]","[87, 29, 42]",ita
2018,145,lawson craddock (usa),"+ 4h 34' 19""",ef education first–drapac p/b cannondale,"[4, 34, 19]","[83, 17, 13]","[87, 51, 32]",usa
2019,1,egan bernal (col),"82h 57' 00""",team ineos,"[0, 0, 0]","[82, 57, 0]","[82, 57, 0]",col
2019,2,geraint thomas (gbr),"+ 1' 11""",team ineos,"[0, 1, 11]","[82, 57, 0]","[82, 58, 11]",gbr
2019,3,steven kruijswijk (ned),"+ 1' 31""",team jumbo–visma,"[0, 1, 31]","[82, 57, 0]","[82, 58, 31]",ned
2019,4,emanuel buchmann (ger),"+ 1' 56""",bora–hansgrohe,"[0, 1, 56]","[82, 57, 0]","[82, 58, 56]",ger
2019,5,julian alaphilippe (fra),"+ 4' 05""",deceuninck–quick-step,"[0, 4, 5]","[82, 57, 0]","[82, 61, 5]",fra
2019,6,mikel landa (esp),"+ 4' 23""",movistar team,"[0, 4, 23]","[82, 57, 0]","[82, 61, 23]",esp
2019,7,rigoberto urán (col),"+ 5' 15""",ef education first,"[0, 5, 15]","[82, 57, 0]","[82, 62, 15]",col
2019,8,nairo quintana (col),"+ 5' 30""",movistar team,"[0, 5, 30]","[82, 57, 0]","[82, 62, 30]",col
2019,9,alejandro valverde (esp),"+ 6' 12""",movistar team,"[0, 6, 12]","[82, 57, 0]","[82, 63, 12]",esp
2019,10,warren barguil (fra),"+ 7' 32""",arkéa–samsic,"[0, 7, 32]","[82, 57, 0]","[82, 64, 32]",fra
2019,11,richie porte (aus),"+ 12' 42""",trek–segafredo,"[0, 12, 42]","[82, 57, 0]","[82, 69, 42]",aus
2019,12,guillaume martin (fra),"+ 22' 08""",wanty–gobert,"[0, 22, 8]","[82, 57, 0]","[82, 79, 8]",fra
2019,13,david gaudu (fra),"+ 23' 58""",groupama–fdj,"[0, 23, 58]","[82, 57, 0]","[82, 80, 58]",fra
2019,14,fabio aru (ita),"+ 27' 36""",uae team emirates,"[0, 27, 36]","[82, 57, 0]","[82, 84, 36]",ita
2019,15,romain bardet (fra),"+ 30' 23""",ag2r la mondiale,"[0, 30, 23]","[82, 57, 0]","[82, 87, 23]",fra
2019,16,roman kreuziger (cze),"+ 36' 09""",team dimension data,"[0, 36, 9]","[82, 57, 0]","[82, 93, 9]",cze
2019,17,sébastien reichenbach (sui),"+ 44' 29""",groupama–fdj,"[0, 44, 29]","[82, 57, 0]","[82, 101, 29]",sui
2019,18,dan martin (irl),"+ 45' 21""",uae team emirates,"[0, 45, 21]","[82, 57, 0]","[82, 102, 21]",irl
2019,19,alexey lutsenko (kaz),"+ 48' 52""",astana,"[0, 48, 52]","[82, 57, 0]","[82, 105, 52]",kaz
2019,20,jesús herrada (esp),"+ 51' 57""",cofidis,"[0, 51, 57]","[82, 57, 0]","[82, 108, 57]",esp
2019,21,xandro meurisse (bel),"+ 56' 47""",wanty–gobert,"[0, 56, 47]","[82, 57, 0]","[82, 113, 47]",bel
2019,22,enric mas (esp),"+ 58' 20""",deceuninck–quick-step,"[0, 58, 20]","[82, 57, 0]","[82, 115, 20]",esp
2019,23,laurens de plus (bel),"+ 1h 02' 44""",team jumbo–visma,"[1, 2, 44]","[82, 57, 0]","[83, 59, 44]",bel
2019,24,george bennett (nzl),"+ 1h 04' 40""",team jumbo–visma,"[1, 4, 40]","[82, 57, 0]","[83, 61, 40]",nzl
2019,25,gregor mühlberger (aut),"+ 1h 04' 40""",bora–hansgrohe,"[1, 4, 40]","[82, 57, 0]","[83, 61, 40]",aut
2019,26,wout poels (ned),"+ 1h 12' 25""",team ineos,"[1, 12, 25]","[82, 57, 0]","[83, 69, 25]",ned
2019,27,tanel kangert (est),"+ 1h 12' 36""",ef education first,"[1, 12, 36]","[82, 57, 0]","[83, 69, 36]",est
2019,28,bauke mollema (ned),"+ 1h 14' 58""",trek–segafredo,"[1, 14, 58]","[82, 57, 0]","[83, 71, 58]",ned
2019,29,adam yates (gbr),"+ 1h 16' 50""",mitchelton–scott,"[1, 16, 50]","[82, 57, 0]","[83, 73, 50]",gbr
2019,30,julien bernard (fra),"+ 1h 20' 07""",trek–segafredo,"[1, 20, 7]","[82, 57, 0]","[83, 77, 7]",fra
2019,31,giulio ciccone (ita),"+ 1h 20' 49""",trek–segafredo,"[1, 20, 49]","[82, 57, 0]","[83, 77, 49]",ita
2019,32,michael woods (can),"+ 1h 21' 00""",ef education first,"[1, 21, 0]","[82, 57, 0]","[83, 78, 0]",can
2019,33,rudy molard (fra),"+ 1h 21' 17""",groupama–fdj,"[1, 21, 17]","[82, 57, 0]","[83, 78, 17]",fra
2019,34,mikaël cherel (fra),"+ 1h 22' 32""",ag2r la mondiale,"[1, 22, 32]","[82, 57, 0]","[83, 79, 32]",fra
2019,35,patrick konrad (aut),"+ 1h 24' 35""",bora–hansgrohe,"[1, 24, 35]","[82, 57, 0]","[83, 81, 35]",aut
2019,36,greg van avermaet (bel),"+ 1h 27' 56""",ccc team,"[1, 27, 56]","[82, 57, 0]","[83, 84, 56]",bel
2019,37,marc soler (esp),"+ 1h 35' 45""",movistar team,"[1, 35, 45]","[82, 57, 0]","[83, 92, 45]",esp
2019,38,jack haig (aus),"+ 1h 36' 59""",mitchelton–scott,"[1, 36, 59]","[82, 57, 0]","[83, 93, 59]",aus
2019,39,vincenzo nibali (ita),"+ 1h 37' 02""",bahrain–merida,"[1, 37, 2]","[82, 57, 0]","[83, 94, 2]",ita
2019,40,lennard kämna (ger),"+ 1h 39' 36""",team sunweb,"[1, 39, 36]","[82, 57, 0]","[83, 96, 36]",ger
2019,41,alexis vuillermoz (fra),"+ 1h 40' 07""",ag2r la mondiale,"[1, 40, 7]","[82, 57, 0]","[83, 97, 7]",fra
2019,42,gorka izagirre (esp),"+ 1h 40' 17""",astana,"[1, 40, 17]","[82, 57, 0]","[83, 97, 17]",esp
2019,43,jasper stuyven (bel),"+ 1h 43' 42""",trek–segafredo,"[1, 43, 42]","[82, 57, 0]","[83, 100, 42]",bel
2019,44,dylan teuns (bel),"+ 1h 44' 17""",bahrain–merida,"[1, 44, 17]","[82, 57, 0]","[83, 101, 17]",bel
2019,45,nicolas roche (irl),"+ 1h 47' 20""",team sunweb,"[1, 47, 20]","[82, 57, 0]","[83, 104, 20]",irl
2019,46,dylan van baarle (ned),"+ 1h 51' 38""",team ineos,"[1, 51, 38]","[82, 57, 0]","[83, 108, 38]",ned
2019,47,sergio henao (col),"+ 1h 52' 37""",uae team emirates,"[1, 52, 37]","[82, 57, 0]","[83, 109, 37]",col
2019,48,mathias frank (sui),"+ 1h 53' 51""",ag2r la mondiale,"[1, 53, 51]","[82, 57, 0]","[83, 110, 51]",sui
2019,49,simon yates (gbr),"+ 1h 53' 54""",mitchelton–scott,"[1, 53, 54]","[82, 57, 0]","[83, 110, 54]",gbr
2019,50,jonathan castroviejo (esp),"+ 1h 54' 22""",team ineos,"[1, 54, 22]","[82, 57, 0]","[83, 111, 22]",esp
2019,51,ilnur zakarin (rus),"+ 1h 55' 57""",team katusha–alpecin,"[1, 55, 57]","[82, 57, 0]","[83, 112, 57]",rus
2019,52,matteo trentin (ita),"+ 1h 57' 38""",mitchelton–scott,"[1, 57, 38]","[82, 57, 0]","[83, 114, 38]",ita
2019,53,rui costa (por),"+ 1h 59' 02""",uae team emirates,"[1, 59, 2]","[82, 57, 0]","[83, 116, 2]",por
2019,54,pello bilbao (esp),"+ 1h 59' 10""",astana,"[1, 59, 10]","[82, 57, 0]","[83, 116, 10]",esp
2019,55,andrey amador (crc),"+ 1h 59' 55""",movistar team,"[1, 59, 55]","[82, 57, 0]","[83, 116, 55]",crc
2019,56,tony gallopin (fra),"+ 2h 03' 00""",ag2r la mondiale,"[2, 3, 0]","[82, 57, 0]","[84, 60, 0]",fra
2019,57,pierre-luc périchon (fra),"+ 2h 05' 35""",cofidis,"[2, 5, 35]","[82, 57, 0]","[84, 62, 35]",fra
2019,58,damiano caruso (ita),"+ 2h 07' 15""",bahrain–merida,"[2, 7, 15]","[82, 57, 0]","[84, 64, 15]",ita
2019,59,tiesj benoot (bel),"+ 2h 07' 28""",lotto–soudal,"[2, 7, 28]","[82, 57, 0]","[84, 64, 28]",bel
2019,60,thomas de gendt (bel),"+ 2h 10' 33""",lotto–soudal,"[2, 10, 33]","[82, 57, 0]","[84, 67, 33]",bel
2019,61,simon clarke (aus),"+ 2h 11' 43""",ef education first,"[2, 11, 43]","[82, 57, 0]","[84, 68, 43]",aus
2019,62,ben king (usa),"+ 2h 12' 00""",team dimension data,"[2, 12, 0]","[82, 57, 0]","[84, 69, 0]",usa
2019,63,simon geschke (ger),"+ 2h 13' 25""",ccc team,"[2, 13, 25]","[82, 57, 0]","[84, 70, 25]",ger
2019,64,nils politt (ger),"+ 2h 14' 28""",team katusha–alpecin,"[2, 14, 28]","[82, 57, 0]","[84, 71, 28]",ger
2019,65,fabio felline (ita),"+ 2h 15' 03""",trek–segafredo,"[2, 15, 3]","[82, 57, 0]","[84, 72, 3]",ita
2019,66,rein taaramäe (est),"+ 2h 15' 42""",total direct énergie,"[2, 15, 42]","[82, 57, 0]","[84, 72, 42]",est
2019,67,michael matthews (aus),"+ 2h 16' 34""",team sunweb,"[2, 16, 34]","[82, 57, 0]","[84, 73, 34]",aus
2019,68,oliver naesen (bel),"+ 2h 16' 43""",ag2r la mondiale,"[2, 16, 43]","[82, 57, 0]","[84, 73, 43]",bel
2019,69,alberto bettiol (ita),"+ 2h 19' 06""",ef education first,"[2, 19, 6]","[82, 57, 0]","[84, 76, 6]",ita
2019,70,michael schär (sui),"+ 2h 19' 45""",ccc team,"[2, 19, 45]","[82, 57, 0]","[84, 76, 45]",sui
2019,71,omar fraile (esp),"+ 2h 19' 52""",astana,"[2, 19, 52]","[82, 57, 0]","[84, 76, 52]",esp
2019,72,daryl impey (rsa),"+ 2h 24' 58""",mitchelton–scott,"[2, 24, 58]","[82, 57, 0]","[84, 81, 58]",rsa
2019,73,joey rosskopf (usa),"+ 2h 26' 36""",ccc team,"[2, 26, 36]","[82, 57, 0]","[84, 83, 36]",usa
2019,74,maxime bouet (fra),"+ 2h 28' 04""",arkéa–samsic,"[2, 28, 4]","[82, 57, 0]","[84, 85, 4]",fra
2019,75,michael valgren (den),"+ 2h 28' 07""",team dimension data,"[2, 28, 7]","[82, 57, 0]","[84, 85, 7]",den
2019,76,edvald boasson hagen (nor),"+ 2h 28' 19""",team dimension data,"[2, 28, 19]","[82, 57, 0]","[84, 85, 19]",nor
2019,77,serge pauwels (bel),"+ 2h 32' 14""",ccc team,"[2, 32, 14]","[82, 57, 0]","[84, 89, 14]",bel
2019,78,élie gesbert (fra),"+ 2h 33' 02""",arkéa–samsic,"[2, 33, 2]","[82, 57, 0]","[84, 90, 2]",fra
2019,79,nelson oliveira (por),"+ 2h 35' 51""",movistar team,"[2, 35, 51]","[82, 57, 0]","[84, 92, 51]",por
2019,80,romain sicard (fra),"+ 2h 38' 26""",total direct énergie,"[2, 38, 26]","[82, 57, 0]","[84, 95, 26]",fra
2019,81,toms skujiņš (lat),"+ 2h 39' 50""",trek–segafredo,"[2, 39, 50]","[82, 57, 0]","[84, 96, 50]",lat
2019,82,peter sagan (svk),"+ 2h 44' 24""",bora–hansgrohe,"[2, 44, 24]","[82, 57, 0]","[84, 101, 24]",svk
2019,83,michał kwiatkowski (pol),"+ 2h 46' 14""",team ineos,"[2, 46, 14]","[82, 57, 0]","[84, 103, 14]",pol
2019,84,gianni moscon (ita),"+ 2h 47' 23""",team ineos,"[2, 47, 23]","[82, 57, 0]","[84, 104, 23]",ita
2019,85,sonny colbrelli (ita),"+ 2h 48' 27""",bahrain–merida,"[2, 48, 27]","[82, 57, 0]","[84, 105, 27]",ita
2019,86,natnael berhane (eri),"+ 2h 49' 25""",cofidis,"[2, 49, 25]","[82, 57, 0]","[84, 106, 25]",eri
2019,87,anthony perez (fra),"+ 2h 51' 36""",cofidis,"[2, 51, 36]","[82, 57, 0]","[84, 108, 36]",fra
2019,88,andrea pasqualon (ita),"+ 2h 53' 25""",wanty–gobert,"[2, 53, 25]","[82, 57, 0]","[84, 110, 25]",ita
2019,89,daniel oss (ita),"+ 2h 54' 56""",bora–hansgrohe,"[2, 54, 56]","[82, 57, 0]","[84, 111, 56]",ita
2019,90,anthony delaplace (fra),"+ 2h 55' 03""",arkéa–samsic,"[2, 55, 3]","[82, 57, 0]","[84, 112, 3]",fra
2019,91,hugo houle (can),"+ 2h 56' 11""",astana,"[2, 56, 11]","[82, 57, 0]","[84, 113, 11]",can
2019,92,amaël moinard (fra),"+ 2h 59' 17""",arkéa–samsic,"[2, 59, 17]","[82, 57, 0]","[84, 116, 17]",fra
2019,93,jan tratnik (slo),"+ 3h 00' 37""",bahrain–merida,"[3, 0, 37]","[82, 57, 0]","[85, 57, 37]",slo
2019,94,tim wellens (bel),"+ 3h 01' 43""",lotto–soudal,"[3, 1, 43]","[82, 57, 0]","[85, 58, 43]",bel
2019,95,paul ourselin (fra),"+ 3h 01' 47""",total direct énergie,"[3, 1, 47]","[82, 57, 0]","[85, 58, 47]",fra
2019,96,stefan küng (sui),"+ 3h 02' 38""",groupama–fdj,"[3, 2, 38]","[82, 57, 0]","[85, 59, 38]",sui
2019,97,dries devenyns (bel),"+ 3h 02' 42""",deceuninck–quick-step,"[3, 2, 42]","[82, 57, 0]","[85, 59, 42]",bel
2019,98,jens keukeleire (bel),"+ 3h 03' 49""",lotto–soudal,"[3, 3, 49]","[82, 57, 0]","[85, 60, 49]",bel
2019,99,imanol erviti (esp),"+ 3h 04' 34""",movistar team,"[3, 4, 34]","[82, 57, 0]","[85, 61, 34]",esp
2019,100,stéphane rossetto (fra),"+ 3h 05' 15""",cofidis,"[3, 5, 15]","[82, 57, 0]","[85, 62, 15]",fra
2019,101,mike teunissen (ned),"+ 3h 06' 54""",team jumbo–visma,"[3, 6, 54]","[82, 57, 0]","[85, 63, 54]",ned
2019,102,anthony roux (fra),"+ 3h 08' 49""",groupama–fdj,"[3, 8, 49]","[82, 57, 0]","[85, 65, 49]",fra
2019,103,kévin ledanois (fra),"+ 3h 12' 17""",total direct énergie,"[3, 12, 17]","[82, 57, 0]","[85, 69, 17]",fra
2019,104,magnus cort (den),"+ 3h 12' 22""",astana,"[3, 12, 22]","[82, 57, 0]","[85, 69, 22]",den
2019,105,carlos verona (esp),"+ 3h 13' 05""",movistar team,"[3, 13, 5]","[82, 57, 0]","[85, 70, 5]",esp
2019,106,lilian calmejane (fra),"+ 3h 13' 36""",total direct énergie,"[3, 13, 36]","[82, 57, 0]","[85, 70, 36]",fra
2019,107,vegard stake laengen (nor),"+ 3h 15' 25""",uae team emirates,"[3, 15, 25]","[82, 57, 0]","[85, 72, 25]",nor
2019,108,julien simon (fra),"+ 3h 17' 08""",cofidis,"[3, 17, 8]","[82, 57, 0]","[85, 74, 8]",fra
2019,109,luke durbridge (aus),"+ 3h 18' 36""",mitchelton–scott,"[3, 18, 36]","[82, 57, 0]","[85, 75, 36]",aus
2019,110,sven erik bystrøm (nor),"+ 3h 19' 40""",uae team emirates,"[3, 19, 40]","[82, 57, 0]","[85, 76, 40]",nor
2019,111,odd christian eiking (nor),"+ 3h 19' 58""",wanty–gobert,"[3, 19, 58]","[82, 57, 0]","[85, 76, 58]",nor
2019,112,christopher juul-jensen (den),"+ 3h 22' 22""",mitchelton–scott,"[3, 22, 22]","[82, 57, 0]","[85, 79, 22]",den
2019,113,benoît cosnefroy (fra),"+ 3h 25' 57""",ag2r la mondiale,"[3, 25, 57]","[82, 57, 0]","[85, 82, 57]",fra
2019,114,iván garcía (esp),"+ 3h 26' 03""",bahrain–merida,"[3, 26, 3]","[82, 57, 0]","[85, 83, 3]",esp
2019,115,alexis gougeard (fra),"+ 3h 27' 10""",ag2r la mondiale,"[3, 27, 10]","[82, 57, 0]","[85, 84, 10]",fra
2019,116,nikias arndt (ger),"+ 3h 27' 43""",team sunweb,"[3, 27, 43]","[82, 57, 0]","[85, 84, 43]",ger
2019,117,mads würtz schmidt (den),"+ 3h 29' 22""",team katusha–alpecin,"[3, 29, 22]","[82, 57, 0]","[85, 86, 22]",den
2019,118,jasper de buyst (bel),"+ 3h 31' 36""",lotto–soudal,"[3, 31, 36]","[82, 57, 0]","[85, 88, 36]",bel
2019,119,matej mohorič (slo),"+ 3h 33' 43""",bahrain–merida,"[3, 33, 43]","[82, 57, 0]","[85, 90, 43]",slo
2019,120,frederik backaert (bel),"+ 3h 34' 00""",wanty–gobert,"[3, 34, 0]","[82, 57, 0]","[85, 91, 0]",bel
2019,121,fabien grellier (fra),"+ 3h 35' 12""",total direct énergie,"[3, 35, 12]","[82, 57, 0]","[85, 92, 12]",fra
2019,122,kasper asgreen (den),"+ 3h 38' 18""",deceuninck–quick-step,"[3, 38, 18]","[82, 57, 0]","[85, 95, 18]",den
2019,123,florian vachon (fra),"+ 3h 43' 22""",arkéa–samsic,"[3, 43, 22]","[82, 57, 0]","[85, 100, 22]",fra
2019,124,reinardt janse van rensburg (rsa),"+ 3h 44' 10""",team dimension data,"[3, 44, 10]","[82, 57, 0]","[85, 101, 10]",rsa
2019,125,koen de kort (ned),"+ 3h 44' 48""",trek–segafredo,"[3, 44, 48]","[82, 57, 0]","[85, 101, 48]",ned
2019,126,mathieu ladagnous (fra),"+ 3h 45' 11""",groupama–fdj,"[3, 45, 11]","[82, 57, 0]","[85, 102, 11]",fra
2019,127,łukasz wiśniowski (pol),"+ 3h 46' 34""",ccc team,"[3, 46, 34]","[82, 57, 0]","[85, 103, 34]",pol
2019,128,josé gonçalves (por),"+ 3h 47' 15""",team katusha–alpecin,"[3, 47, 15]","[82, 57, 0]","[85, 104, 15]",por
2019,129,steve cummings (gbr),"+ 3h 49' 45""",team dimension data,"[3, 49, 45]","[82, 57, 0]","[85, 106, 45]",gbr
2019,130,elia viviani (ita),"+ 3h 52' 37""",deceuninck–quick-step,"[3, 52, 37]","[82, 57, 0]","[85, 109, 37]",ita
2019,131,anthony turgis (fra),"+ 3h 53' 11""",total direct énergie,"[3, 53, 11]","[82, 57, 0]","[85, 110, 11]",fra
2019,132,caleb ewan (aus),"+ 3h 54' 34""",lotto–soudal,"[3, 54, 34]","[82, 57, 0]","[85, 111, 34]",aus
2019,133,yves lampaert (bel),"+ 3h 54' 37""",deceuninck–quick-step,"[3, 54, 37]","[82, 57, 0]","[85, 111, 37]",bel
2019,134,chad haga (usa),"+ 3h 54' 51""",team sunweb,"[3, 54, 51]","[82, 57, 0]","[85, 111, 51]",usa
2019,135,tom scully (nzl),"+ 3h 56' 52""",ef education first,"[3, 56, 52]","[82, 57, 0]","[85, 113, 52]",nzl
2019,136,aimé de gendt (bel),"+ 3h 57' 05""",wanty–gobert,"[3, 57, 5]","[82, 57, 0]","[85, 114, 5]",bel
2019,137,niccolò bonifazio (ita),"+ 3h 59' 44""",total direct énergie,"[3, 59, 44]","[82, 57, 0]","[85, 116, 44]",ita
2019,138,kevin van melsen (bel),"+ 4h 00' 20""",wanty–gobert,"[4, 0, 20]","[82, 57, 0]","[86, 57, 20]",bel
2019,139,alexander kristoff (nor),"+ 4h 01' 05""",uae team emirates,"[4, 1, 5]","[82, 57, 0]","[86, 58, 5]",nor
2019,140,amund grøndahl jansen (nor),"+ 4h 02' 02""",team jumbo–visma,"[4, 2, 2]","[82, 57, 0]","[86, 59, 2]",nor
2019,141,marcus burghardt (ger),"+ 4h 02' 18""",bora–hansgrohe,"[4, 2, 18]","[82, 57, 0]","[86, 59, 18]",ger
2019,142,maxime monfort (bel),"+ 4h 03' 56""",lotto–soudal,"[4, 3, 56]","[82, 57, 0]","[86, 60, 56]",bel
2019,143,william bonnet (fra),"+ 4h 05' 32""",groupama–fdj,"[4, 5, 32]","[82, 57, 0]","[86, 62, 32]",fra
2019,144,andré greipel (ger),"+ 4h 07' 00""",arkéa–samsic,"[4, 7, 0]","[82, 57, 0]","[86, 64, 0]",ger
2019,145,dylan groenewegen (ned),"+ 4h 07' 10""",team jumbo–visma,"[4, 7, 10]","[82, 57, 0]","[86, 64, 10]",ned
2019,146,michael hepburn (aus),"+ 4h 07' 32""",mitchelton–scott,"[4, 7, 32]","[82, 57, 0]","[86, 64, 32]",aus
2019,147,lars bak (den),"+ 4h 07' 48""",team dimension data,"[4, 7, 48]","[82, 57, 0]","[86, 64, 48]",den
2019,148,marco haller (aut),"+ 4h 08' 17""",team katusha–alpecin,"[4, 8, 17]","[82, 57, 0]","[86, 65, 17]",aut
2019,149,maximiliano richeze (arg),"+ 4h 10' 05""",deceuninck–quick-step,"[4, 10, 5]","[82, 57, 0]","[86, 67, 5]",arg
2019,150,roger kluge (ger),"+ 4h 13' 43""",lotto–soudal,"[4, 13, 43]","[82, 57, 0]","[86, 70, 43]",ger
2019,151,alex dowsett (gbr),"+ 4h 14' 39""",team katusha–alpecin,"[4, 14, 39]","[82, 57, 0]","[86, 71, 39]",gbr
2019,152,michael mørkøv (den),"+ 4h 19' 33""",deceuninck–quick-step,"[4, 19, 33]","[82, 57, 0]","[86, 76, 33]",den
2019,153,jens debusschere (bel),"+ 4h 29' 07""",team katusha–alpecin,"[4, 29, 7]","[82, 57, 0]","[86, 86, 7]",bel
2019,154,yoann offredo (fra),"+ 4h 31' 43""",wanty–gobert,"[4, 31, 43]","[82, 57, 0]","[86, 88, 43]",fra
2019,155,sebastian langeveld (ned),"+ 4h 34' 23""",ef education first,"[4, 34, 23]","[82, 57, 0]","[86, 91, 23]",ned
2020,1,tadej pogačar (slo),"87h 20' 05""",uae team emirates,"[0, 0, 0]","[87, 20, 5]","[87, 20, 5]",slo
2020,2,primož roglič (slo),"+ 59""",team jumbo–visma,"[0, 0, 59]","[87, 20, 5]","[87, 20, 64]",slo
2020,3,richie porte (aus),"+ 3' 30""",trek–segafredo,"[0, 3, 30]","[87, 20, 5]","[87, 23, 35]",aus
2020,4,mikel landa (esp),"+ 5' 58""",bahrain–mclaren,"[0, 5, 58]","[87, 20, 5]","[87, 25, 63]",esp
2020,5,enric mas (esp),"+ 6' 07""",movistar team,"[0, 6, 7]","[87, 20, 5]","[87, 26, 12]",esp
2020,6,miguel ángel lópez (col),"+ 6' 47""",astana,"[0, 6, 47]","[87, 20, 5]","[87, 26, 52]",col
2020,7,tom dumoulin (ned),"+ 7' 48""",team jumbo–visma,"[0, 7, 48]","[87, 20, 5]","[87, 27, 53]",ned
2020,8,rigoberto urán (col),"+ 8' 02""",ef pro cycling,"[0, 8, 2]","[87, 20, 5]","[87, 28, 7]",col
2020,9,adam yates (gbr),"+ 9' 25""",mitchelton–scott,"[0, 9, 25]","[87, 20, 5]","[87, 29, 30]",gbr
2020,10,damiano caruso (ita),"+ 14' 03""",bahrain–mclaren,"[0, 14, 3]","[87, 20, 5]","[87, 34, 8]",ita
2020,11,guillaume martin (fra),"+ 16' 58""",cofidis,"[0, 16, 58]","[87, 20, 5]","[87, 36, 63]",fra
2020,12,alejandro valverde (esp),"+ 17' 41""",movistar team,"[0, 17, 41]","[87, 20, 5]","[87, 37, 46]",esp
